"체류자격별","성별","행정구역(시군구)별","항목","단위","2023 년",
"총계","계","총계","지역 및 체류자격별 등록외국인 현황[명]","명","1348626",
"총계","계","강원특별자치도","지역 및 체류자격별 등록외국인 현황[명]","명","23484",
"총계","계","강릉시","지역 및 체류자격별 등록외국인 현황[명]","명","3379",
"총계","계","고성군","지역 및 체류자격별 등록외국인 현황[명]","명","1812",
"총계","계","동해시","지역 및 체류자격별 등록외국인 현황[명]","명","972",
"총계","계","삼척시","지역 및 체류자격별 등록외국인 현황[명]","명","851",
"총계","계","속초시","지역 및 체류자격별 등록외국인 현황[명]","명","1364",
"총계","계","양구군","지역 및 체류자격별 등록외국인 현황[명]","명","419",
"총계","계","양양군","지역 및 체류자격별 등록외국인 현황[명]","명","366",
"총계","계","영월군","지역 및 체류자격별 등록외국인 현황[명]","명","343",
"총계","계","원주시","지역 및 체류자격별 등록외국인 현황[명]","명","4776",
"총계","계","인제군","지역 및 체류자격별 등록외국인 현황[명]","명","543",
"총계","계","정선군","지역 및 체류자격별 등록외국인 현황[명]","명","293",
"총계","계","철원군","지역 및 체류자격별 등록외국인 현황[명]","명","839",
"총계","계","춘천시","지역 및 체류자격별 등록외국인 현황[명]","명","4317",
"총계","계","태백시","지역 및 체류자격별 등록외국인 현황[명]","명","331",
"총계","계","평창군","지역 및 체류자격별 등록외국인 현황[명]","명","578",
"총계","계","홍천군","지역 및 체류자격별 등록외국인 현황[명]","명","990",
"총계","계","화천군","지역 및 체류자격별 등록외국인 현황[명]","명","268",
"총계","계","횡성군","지역 및 체류자격별 등록외국인 현황[명]","명","1043",
"총계","계","경기도","지역 및 체류자격별 등록외국인 현황[명]","명","425629",
"총계","계","가평군","지역 및 체류자격별 등록외국인 현황[명]","명","1186",
"총계","계","고양시 덕양구","지역 및 체류자격별 등록외국인 현황[명]","명","5076",
"총계","계","고양시 일산동구","지역 및 체류자격별 등록외국인 현황[명]","명","4309",
"총계","계","고양시 일산서구","지역 및 체류자격별 등록외국인 현황[명]","명","3315",
"총계","계","과천시","지역 및 체류자격별 등록외국인 현황[명]","명","219",
"총계","계","광명시","지역 및 체류자격별 등록외국인 현황[명]","명","2927",
"총계","계","광주시","지역 및 체류자격별 등록외국인 현황[명]","명","12893",
"총계","계","구리시","지역 및 체류자격별 등록외국인 현황[명]","명","1541",
"총계","계","군포시","지역 및 체류자격별 등록외국인 현황[명]","명","5780",
"총계","계","김포시","지역 및 체류자격별 등록외국인 현황[명]","명","22628",
"총계","계","남양주시","지역 및 체류자격별 등록외국인 현황[명]","명","8515",
"총계","계","동두천시","지역 및 체류자격별 등록외국인 현황[명]","명","3788",
"총계","계","부천시","지역 및 체류자격별 등록외국인 현황[명]","명","26388",
"총계","계","성남시 분당구","지역 및 체류자격별 등록외국인 현황[명]","명","3002",
"총계","계","성남시 수정구","지역 및 체류자격별 등록외국인 현황[명]","명","10528",
"총계","계","성남시 중원구","지역 및 체류자격별 등록외국인 현황[명]","명","2689",
"총계","계","수원시 권선구","지역 및 체류자격별 등록외국인 현황[명]","명","9407",
"총계","계","수원시 영통구","지역 및 체류자격별 등록외국인 현황[명]","명","8393",
"총계","계","수원시 장안구","지역 및 체류자격별 등록외국인 현황[명]","명","6796",
"총계","계","수원시 팔달구","지역 및 체류자격별 등록외국인 현황[명]","명","11578",
"총계","계","시흥시","지역 및 체류자격별 등록외국인 현황[명]","명","37188",
