,art_D1,crime_rate,foreigner_rate,study_D2,training_D3,training_D4,press_D5,religion_D6,reside_D7,invest_D8,trade_D9,jobseek_D10,prof_E1,instructor_E2,research_E3,tech_E4,projob_E5,performance_E6,activity_E7,seasonal_E8,nonprojob_E9,sailor_E10,visit_F1,reside_F2,accompany_F3,permanent_F5,marriage_F6,etc_G1,tourism_H1,visitwork_H2,etc_others,ClusterLabel
art_D1,1.0,0.03780886365132847,0.07800848932764409,0.4333052349629889,0.01652130089206598,0.3602588840092252,0.2696314999473172,0.1967108884841496,0.2708322424871321,0.19990668060811387,-0.001026012607250774,0.45788064040051424,0.23819372738249295,0.3099888920443051,0.39081720180637475,-0.021187924677213088,-0.010719645431703409,0.31950876440656323,0.2117233371171444,-0.0777248145488601,-0.046221149945130664,0.059970178993014135,0.11153812766612413,0.3389154626977807,0.2546603094352485,0.2451903018745038,0.20545286861619655,0.023333392509538895,0.6714729932828644,0.1634281624219141,0.05691650725525602,0.37921624557265743
crime_rate,0.03780886365132847,1.0,0.21457620549026846,0.018833108331842426,-0.014446794019456529,0.011211796057015977,0.15418370835858092,-0.005087156028066538,0.1723824165792226,0.09409615840356077,0.03500256033410215,0.051714177957295965,0.009128480617111946,0.029773957982042496,-0.028184070356734262,0.10002516677879682,-0.029429827206841157,0.1475748687566475,0.05926124219990823,0.06692127039041197,0.0028427865224480366,0.21541640491795624,0.0042910130911861695,0.066452485705317,0.038566350282645344,0.021846170918568178,-0.009533403816266583,0.032141864316136554,0.0511813801552082,0.015963828748483427,0.12737718338854803,0.01567545029590991
foreigner_rate,0.07800848932764409,0.21457620549026846,1.0,0.22760513586289027,0.13155086176557765,0.18047782213364247,0.21655126669772384,0.11945361280014964,0.20342741258907798,0.1970152658271532,0.14928822721991875,0.215106722327972,0.1308909001499661,-0.07608944804690335,0.025835710618377923,0.05081574394143089,-0.052608684808487044,0.09288565090534236,0.37848601943922067,0.19937080683785668,0.39790467314068967,0.0859370142802998,0.36827557047744297,0.34434331459311657,0.29756951356868905,0.28039128584961515,0.22563034690828565,0.4740582280049086,0.10791070029000603,0.33453592327040904,0.24609553140674711,0.3855315920334177
study_D2,0.4333052349629889,0.018833108331842426,0.22760513586289027,1.0,0.004590532387148973,0.9073541316962529,0.3083698413280548,0.27119829626645287,0.2214579257066243,0.21395628866544875,0.045964439660176104,0.878376408550178,0.6452345191003958,0.30539508169339313,0.6025727488765316,-0.01674947969116654,-0.013056846026389733,0.14396061741405172,0.10970762264633047,-0.17818796519869123,-0.02920319179433439,-0.06819371274263673,0.20447185902341353,0.2888583180220499,0.39064397804791273,0.20887078901126768,0.254583311568779,0.15173074990473603,0.538394831678462,0.15281391526521834,0.1417255683459802,0.525194490826981
training_D3,0.01652130089206598,-0.014446794019456529,0.13155086176557765,0.004590532387148973,1.0,0.038101414575991886,-0.03799183357268066,0.04300511676433106,0.07068468521165083,0.03452691125372929,0.2938723200731822,0.08985382327663904,-0.0015840223257148332,0.0363121625876688,0.037602619872413603,-0.006609353562636867,-0.01798104000757308,0.029948913474800335,0.46375342903878136,-0.08919104963574359,0.25775794325539786,0.006999167566210876,0.20413876851891072,0.12708560030409616,0.15897180386346654,0.08993615994786198,0.21671608204602777,0.2094699456758792,-0.04444161129626145,0.07350849057542547,0.0514807383202576,0.081317094551387
training_D4,0.3602588840092252,0.011211796057015977,0.18047782213364247,0.9073541316962529,0.038101414575991886,1.0,0.22726953344936246,0.29009161449007637,0.16641954164969278,0.20787786115837467,0.05735593060999709,0.896325125578296,0.6621410284197492,0.32976646714800484,0.5375755401688228,-0.029608356644413983,-0.021234293027059467,0.1334208555117532,0.12134078081751865,-0.2019039247959324,0.047073015225616195,-0.03030246600260986,0.26989120013990425,0.29635665256718735,0.4088995134173147,0.21678986555391372,0.33502404466777214,0.2226000805419173,0.4243594148106322,0.1637674206566836,0.13182757736400447,0.5203714662646968
press_D5,0.2696314999473172,0.15418370835858092,0.21655126669772384,0.3083698413280548,-0.03799183357268066,0.22726953344936246,1.0,0.27641626652243584,0.8750326982291733,0.5633163017056237,0.11364264801696163,0.2880653825707766,0.2584802175225127,0.2801030821166772,0.10171285167140899,-0.007687149899733853,0.010076389282087317,0.2804652935348116,0.15477190918213485,-0.07989592768264858,-0.07559065430896017,-0.04790853073020346,0.0037090994898865996,0.15243234545763296,0.49882469565480564,0.05876595183795351,0.03965125926791401,0.17576780575344675,0.6494353118750537,0.0017103942384006328,0.46527788088619726,0.16751808923880435
religion_D6,0.1967108884841496,-0.005087156028066538,0.11945361280014964,0.27119829626645287,0.04300511676433106,0.29009161449007637,0.27641626652243584,1.0,0.28636353462473335,0.3062189104776035,0.028677986744769183,0.3012352653469064,0.16084212669005873,0.4163250405068642,0.1787608267744807,0.001551094570837884,0.03383810153030054,0.19317961601034564,0.22125805526052839,-0.09173401194238859,0.22103958294439463,-0.02192171440163717,0.28314900272811766,0.29474920495570217,0.3273098637629515,0.24188166105398654,0.34633861793049514,0.28277302768741575,0.23106372150619484,0.2039007015305817,0.2891241498533916,0.3060372964428584
reside_D7,0.2708322424871321,0.1723824165792226,0.20342741258907798,0.2214579257066243,0.07068468521165083,0.16641954164969278,0.8750326982291733,0.28636353462473335,1.0,0.7011345572990203,0.2431425077431323,0.26660206508708406,0.28048843574839566,0.4424055915955912,0.11772372407095855,0.18008980989858833,0.09487630701000846,0.41160126562108157,0.3156746366715465,-0.0938376994743882,-0.007501869418668939,0.013392096994496373,0.10598852998070128,0.251164597024051,0.6219860644073771,0.133859434050496,0.14628397713767405,0.2858465913426681,0.5769384790958064,0.08956671809771595,0.4939915485578439,0.13841079086256883
invest_D8,0.19990668060811387,0.09409615840356077,0.1970152658271532,0.21395628866544875,0.03452691125372929,0.20787786115837467,0.5633163017056237,0.3062189104776035,0.7011345572990203,1.0,0.23562183703342288,0.2861243516576623,0.44724028288209267,0.571628033769785,0.19299133636834592,0.08651625163898465,0.03629978571026336,0.3961499618838255,0.3040955179644248,-0.13493264351313033,0.1682358455628583,-0.05056787443548387,0.3856795394154759,0.3777932169098208,0.8385660652938133,0.23915473569194196,0.33989141392933975,0.5804855275071054,0.3840343591699989,0.2535131557717335,0.4879107182658099,0.294952608305487
